64 98 0 0
0 54 0 0
12 86 0 0
0 54 0 0
22 90 0 0
0 55 0 0
32 92 0 0
0 55 0 0
103 101 0 0
0 56 0 0
21 89 0 0
0 56 0 0
15 86 0 0
0 57 0 0
47 94 0 0
0 57 0 0
57 96 0 0
0 58 0 0
1 79 0 0
0 58 0 0
5 84 0 0
0 59 0 0
32 92 0 0
0 59 0 0
20 89 0 0
0 60 0 0
57 96 0 0
0 60 0 0
63 97 0 0
0 61 0 0
15 87 0 0
0 61 0 0
1 80 0 0
0 62 0 0
48 95 0 0
0 62 0 0
51 95 0 0
0 63 0 0
80 99 0 0
0 63 0 0
23 90 0 0
0 64 0 0
8 85 0 0
0 64 0 0
18 88 0 0
0 65 0 0
1 80 0 0
0 65 0 0
16 87 0 0
0 66 0 0
1 81 0 0
0 66 0 0
1 81 0 0
0 67 2 4
0 67 6 8
0 68 10 12
0 68 14 16
0 69 18 20
0 69 22 24
0 70 26 28
0 70 30 32
0 71 34 36
0 71 38 40
0 72 42 44
0 72 46 48
0 73 50 52
0 73 54 55
0 74 56 57
0 74 58 59
0 75 60 61
0 75 62 63
0 76 64 65
0 76 66 67
0 77 68 69
0 77 70 71
0 78 72 73
0 78 74 75
0 79 76 77
1 82 78 19
2 82 33 47
2 83 51 53
3 83 79 80
5 84 81 82
10 85 21 83
18 88 43 84
27 91 3 13
31 91 31 49
36 93 45 85
41 93 25 11
45 94 5 41
58 97 86 87
64 98 7 23
77 99 88 89
92 100 90 15
99 100 35 37
114 101 17 27
121 102 91 29
128 102 1 92
157 103 93 39
191 103 94 95
217 104 9 96
249 104 97 98
348 105 99 100
466 105 101 102
814 0 103 104
