a 1110
A 000011110001100
b 110000
B 000011110001101
c 01000
C 000011110001110
d 11110
D 000011110001111
e 100
E 000011110010000
f 00011
F 000011110010001
g 110001
G 000011110010010
h 0101
H 000011110010011
i 1010
I 000011110010100
j 0000111101
J 000011110010101
k 0000110
K 000011110010110
l 11111
L 000011110010111
m 00010
M 000011110011000
n 1011
N 000011110011001
o 1101
O 000011110011010
p 110010
P 000011110011011
q 0000111110
Q 000011110011100
r 0110
R 000011110011101
s 0111
S 000011110011110
t 001
T 000011110011111
u 01001
U 00001111000000
v 000010
V 00001111000001
w 00000
W 00001111000010
x 0000111111
X 00001111000011
y 110011
Y 00001111000100
z 000011100
Z 00001111000101
spacework 000011101
